Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
indian-tricolor-t-shirt,Indian Tricolor T-Shirt,<p><span>This men's t-shirt looks great and is an awesome buy on the proud occasion of Independence Day. Pick and send this t-shirt to someone you know and share the proud feeling with them in the best way with this special gift.</span><br><br><span>Product Contains:</span><br><span>- 1 Printed Cotton T-Shirt</span></p>,My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,400.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/1531991955T-Shirt_1-1-600x600.jpg?v=1714401621,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
sipper-for-my-dad,Sipper for My Dad,"<p>Words are not enough to thank our Dad. So, here is a wonderful way to say that you are my Hero. This Father's Day, give him this lovely Sipper for My Dad a sweet gift to send a gratitude message for him.</p>
<p><br><span>Product Contains:</span><br><span>- Father's Day Printed Sipper Bottle</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,750.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16232352873-600x600.jpg?v=1714320613,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
sipper-for-my-dad,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/162323866718-600x600.jpg?v=1714320630,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
happy-kiddo-sipper,Happy Kiddo Sipper,"<p>Get this cute and lovable quirky Happy Kiddo Sipper for your kid as they will experience a sweet taste of their favorite drink in this. This Sipper has a picture-perfect sooting print. Let them get engrossed with the unique Sipper for one year old.</p>
<p><span>Product Contains:</span><br><span>- One Printed Sipper Bottle for 1st Birthday (600ml)</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,650.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16307598864-600x600.jpg?v=1714320441,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
dreamlike-6-months-sipper,Dreamlike 6 Months Sipper,"<p>As the name suggests, 6 months birthday is worth celebrating. It could be the best memories of your life time with your baby. So, what could be a better gift than this Dreamlike 6 Months Sipper? Order now and get it customised with the image you want to get printed on this at MyFlowerTree</p>
<p><br><span>Product Contains:</span><br><span>6 Months Birthday Celebration Sipper Bottle(600ml)</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,650.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/163171947150-600x600.jpg?v=1714320223,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
second-birthday-star-sipper,Second Birthday Star Sipper,"<div class=""pp-description"">
<p>This Second Birthday Star Sipper is a stunning gift and very attractive for kids. An exquisite gift that will make them fall in love with it.</p>
<br>Product Contains:<br>2nd Birthday Celebration Sipper Bottle(600ml)</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,650.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/163178156934-600x600.jpg?v=1714320061,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
first-birthday-fun-sipper,First Birthday Fun Sipper,"<div class=""pp-description"">
<p>This First Birthday Fun Sipper is a bright, thoughtful gift for a loved ones special celebration. Perfect for giving to the one who is close to your heart. An excellent gift for Kids on a special occasion like the first birthday that they will cherish forever.</p>
<br>Product Contains:<br>1st Birthday Printed Sipper Bottle (600ml)</div>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,,deny,manual,450.00,550.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16323878843-600x600.jpg?v=1714319905,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
happy-birthday-sipper,Happy Birthday Sipper,"<p>Whether it's your gym freak friend or brother or anyone to whom you want to wish good health on their birthdays, this personalized photo sipper will make the best choice. You can make them feel more special by customizing this photo sipper with the name of the recipient</p>
<p><span>Product Contains:</span><br><span>- Personalised Sipper Bottle (750 ml)</span></p>",My Gifts Tree,,"","",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,550.00,750.00,true,true,"",https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742833413-600x600.jpg?v=1714319643,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
happy-birthday-sipper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742833462-600x600.jpg?v=1714319677,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
happy-birthday-sipper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0640/9332/3429/files/16742833541-600x600_d7a21500-3ecc-411c-bf73-815a7c459eea.jpg?v=1714319695,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
