SKU,Common Product Id,Name,Description,Sale Price,Sale Price Tax Included,MRP,Purchase Price,Purchase Price Tax Included,Tax,Quantity,Measuring Unit,Brand,Category,Sub Category,Category 1,Sub Category 1,Category 2,Sub Category 2,Barcode,Product Id,Shipping Weight,Min Quantity,Max Quantity,Show Online,HSN,Condition,Gender,Age Group,GTIN,MPN,Material,Pattern,SEO Title,SEO Description,Video Url,Summary,Size,Color,Color_Data,Image1,Image2,Image3,Image4,Image5,Image6
SKU-0436,SSK-0197,Butter Cream Chocolate Dripping Cake,,1999.0,true,2499.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,butter-cream-chocolate-dripping-cake,0.0,,,true,,,,,,,,,,,,,2 Kg,,,https://storage.googleapis.com/shy-pub/327349/butter-cream-chocolate-dripping-cake-1712820314603_SKU-0433_0.webp,https://storage.googleapis.com/shy-pub/327349/butter-cream-chocolate-dripping-cake-1712820315745_SKU-0433_0.webp,,,,
SKU-0437,SSK-0198,Red Valvet With Heart,,649.0,true,899.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,red-valvet-with-heart,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/red-valvet-with-heart-1712820316848_SKU-0437_0.jpg,,,,,
SKU-0438,SSK-0198,Red Valvet With Heart,,1199.0,true,1199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,red-valvet-with-heart,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/red-valvet-with-heart-1712820316848_SKU-0437_0.jpg,,,,,
SKU-0439,SSK-0198,Red Valvet With Heart,,1499.0,true,1499.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,red-valvet-with-heart,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/red-valvet-with-heart-1712820316848_SKU-0437_0.jpg,,,,,
SKU-0440,SSK-0198,Red Valvet With Heart,,2099.0,true,2099.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,red-valvet-with-heart,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/red-valvet-with-heart-1712820316848_SKU-0437_0.jpg,,,,,
SKU-0441,SSK-0199,Cherry On The Forest,,499.0,true,649.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,cherry-on-the-forest,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/cherry-on-the-forest-1712820317989_SKU-0441_0.jpg,,,,,
SKU-0442,SSK-0199,Cherry On The Forest,,949.0,true,1199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,cherry-on-the-forest,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/cherry-on-the-forest-1712820317989_SKU-0441_0.jpg,,,,,
SKU-0443,SSK-0199,Cherry On The Forest,,1249.0,true,1699.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,cherry-on-the-forest,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/cherry-on-the-forest-1712820317989_SKU-0441_0.jpg,,,,,
SKU-0444,SSK-0199,Cherry On The Forest,,1699.0,true,2199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,cherry-on-the-forest,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/cherry-on-the-forest-1712820317989_SKU-0441_0.jpg,,,,,
SKU-0445,SSK-0200,Black Forest With Extra Forest,,499.0,true,749.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,black-forest-with-extra-forest,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/black-forest-with-extra-forest-1712820319112_SKU-0445_0.jpg,,,,,
SKU-0446,SSK-0200,Black Forest With Extra Forest,,949.0,true,1249.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,black-forest-with-extra-forest,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/black-forest-with-extra-forest-1712820319112_SKU-0445_0.jpg,,,,,
SKU-0447,SSK-0200,Black Forest With Extra Forest,,1299.0,true,1499.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,black-forest-with-extra-forest,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/black-forest-with-extra-forest-1712820319112_SKU-0445_0.jpg,,,,,
SKU-0448,SSK-0200,Black Forest With Extra Forest,,1649.0,true,2199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,black-forest-with-extra-forest,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/black-forest-with-extra-forest-1712820319112_SKU-0445_0.jpg,,,,,
SKU-0449,SSK-0201,Letter s strawberry cake,,3499.0,true,3999.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,letter-s-strawberry-cake,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/letter-s-strawberry-cake-1712820320200_SKU-0449_0.webp,,,,,
SKU-0450,SSK-0202,Blossom Arrangement Orchid,,1699.0,true,2199.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,blossom-arrangement-orchid,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/blossom-arrangement-orchid-1712820321117_SKU-0450_0.jpg,https://storage.googleapis.com/shy-pub/327349/blossom-arrangement-orchid-1712820321961_SKU-0450_0.jpg,https://storage.googleapis.com/shy-pub/327349/blossom-arrangement-orchid-1712820323665_SKU-0450_0.jpg,,,
SKU-0451,SSK-0203,Special Butter Scotch Cake,,499.0,true,749.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,special-butter-scotch-cake,0.0,,,true,,,,,,,,,,,,,500 GM,,,https://storage.googleapis.com/shy-pub/327349/special-butter-scotch-cake-1712820324686_SKU-0451_0.jpg,,,,,
SKU-0452,SSK-0203,Special Butter Scotch Cake,,849.0,true,1099.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,special-butter-scotch-cake,0.0,,,true,,,,,,,,,,,,,1 KG,,,https://storage.googleapis.com/shy-pub/327349/special-butter-scotch-cake-1712820324686_SKU-0451_0.jpg,,,,,
SKU-0453,SSK-0203,Special Butter Scotch Cake,,1299.0,true,1499.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,special-butter-scotch-cake,0.0,,,true,,,,,,,,,,,,,1.5 KG,,,https://storage.googleapis.com/shy-pub/327349/special-butter-scotch-cake-1712820324686_SKU-0451_0.jpg,,,,,
SKU-0454,SSK-0203,Special Butter Scotch Cake,,1649.0,true,1849.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,special-butter-scotch-cake,0.0,,,true,,,,,,,,,,,,,2 KG,,,https://storage.googleapis.com/shy-pub/327349/special-butter-scotch-cake-1712820324686_SKU-0451_0.jpg,,,,,
SKU-0455,SSK-0204,Gorgeous Black Forest Cake,,649.0,true,899.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,gorgeous-black-forest-cake,0.0,,,true,,,,,,,,,,,,,500 Gm,,,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820325958_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820326890_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820327723_SKU-0455_0.webp,,,
SKU-0456,SSK-0204,Gorgeous Black Forest Cake,,1199.0,true,1499.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,gorgeous-black-forest-cake,0.0,,,true,,,,,,,,,,,,,1 Kg,,,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820325958_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820326890_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820327723_SKU-0455_0.webp,,,
SKU-0457,SSK-0204,Gorgeous Black Forest Cake,,1599.0,true,1899.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,gorgeous-black-forest-cake,0.0,,,true,,,,,,,,,,,,,1.5 Kg,,,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820325958_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820326890_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820327723_SKU-0455_0.webp,,,
SKU-0458,SSK-0204,Gorgeous Black Forest Cake,,1999.0,true,2299.0,0.0,true,,0.0,,My Gifts Tree,,,,,,,,gorgeous-black-forest-cake,0.0,,,true,,,,,,,,,,,,,2Kg,,,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820325958_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820326890_SKU-0455_0.webp,https://storage.googleapis.com/shy-pub/327349/gorgeous-black-forest-cake-1712820327723_SKU-0455_0.webp,,,
SKU-0459,SSK-0205,Lovely Roses bouquet,,499.0,true,699.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,lovely-roses-bouquet,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/lovely-roses-bouquet-1712820329582_SKU-0459_0.jpg,,,,,
SKU-0460,SSK-0206,Diwali dry fruit and laddu gift pack,,0.0,true,0.0,0.0,true,,0.0,,BEST CAKE HOUSE,,,,,,,,diwali-dry-fruit-and-laddu-gift-pack,0.0,,,true,,,,,,,,,,,,,,,,https://storage.googleapis.com/shy-pub/327349/diwali-dry-fruit-and-laddu-gift-pack-1712820330303_SKU-0460_0.webp,https://storage.googleapis.com/shy-pub/327349/diwali-dry-fruit-and-laddu-gift-pack-1712820331064_SKU-0460_0.jpg,https://storage.googleapis.com/shy-pub/327349/diwali-dry-fruit-and-laddu-gift-pack-1712820331797_SKU-0460_0.webp,https://storage.googleapis.com/shy-pub/327349/diwali-dry-fruit-and-laddu-gift-pack-1712820332528_SKU-0460_0.webp,,
